sequenceID	source.name	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage
A75711	ncbi-nuccore	1	1I				
AB074760	ncbi-nuccore	1					
AB074761	ncbi-nuccore	1	1IV	1IV_A			
AB122020	ncbi-nuccore	2	2III	2III_C			
AB122021	ncbi-nuccore	2	2III	2III_C			
AB122022	ncbi-nuccore	2	2III	2III_C			
AB178040	ncbi-nuccore	1	1I				
AB189120	ncbi-nuccore	1	1IV	1IV_A			
AB189121	ncbi-nuccore	1	1IV	1IV_C			
AB189122	ncbi-nuccore	2	2II				
AB189123	ncbi-nuccore	2	2II				
AB189124	ncbi-nuccore	2	2II				
AB189125	ncbi-nuccore	3	3I	3I_A			
AB189126	ncbi-nuccore	3	3I	3I_A			
AB189127	ncbi-nuccore	3	3I	3I_A			
AB189128	ncbi-nuccore	3	3I	3I_A			
AB195673	ncbi-nuccore	1	1IV	1IV_A			
AB204803	ncbi-nuccore	1	1IV	1IV_A			
AB214879	ncbi-nuccore	3	3I	3I_A			
AB214880	ncbi-nuccore	3	3I	3I_A			
AB214881	ncbi-nuccore	3	3I	3I_A			
AB214882	ncbi-nuccore	3	3I	3I_A			
AB479041	ncbi-nuccore	2	2III	2III_A	2III_A1		
AB479042	ncbi-nuccore	2	2III	2III_A	2III_A1		
AB519681	ncbi-nuccore	1	1V				
AB543624	ncbi-nuccore	2	2V	2V_A			
AB608786	ncbi-nuccore	1	1I				
AB608787	ncbi-nuccore	1	1I				
AB608788	ncbi-nuccore	1	1I	1I_B			
AB608789	ncbi-nuccore	1	1I				
AF022434	ncbi-nuccore	2	2V				
AF022435	ncbi-nuccore	2	2V				
AF022436	ncbi-nuccore	2	2V				
AF022437	ncbi-nuccore	2	2V				
AF022438	ncbi-nuccore	2	2V				
AF022439	ncbi-nuccore	2	2V				
AF022440	ncbi-nuccore	2	2V				
AF022441	ncbi-nuccore	2	2V				
AF038402	ncbi-nuccore	2					
AF038403	ncbi-nuccore	2					
AF100459	ncbi-nuccore	2	2V	2V_B			
AF100460	ncbi-nuccore	2	2V				
AF100461	ncbi-nuccore	2	2V				
