sequenceID	source.name	serotype	genotype	major_lineage	minor_lineage	minor_sublineage
A91810	ncbi-nuccore-short	2	-	-	-	-
A91814	ncbi-nuccore-short	4	4II	4II_B	-	-
A91816	ncbi-nuccore-short	2	-	-	-	-
AB003090	ncbi-nuccore-short	1	1I	1I_B	-	-
AB010982	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010983	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010984	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010985	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010986	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010987	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010988	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010989	ncbi-nuccore-short	3	3II	3II_A	-	-
AB010990	ncbi-nuccore-short	3	3II	3II_A	-	-
AB038465	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038466	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038467	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038468	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038469	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038470	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038471	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038472	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038473	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038474	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038475	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038476	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038477	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038478	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB038479	ncbi-nuccore-short	3	3III	3III_C	3III_C1	-
AB111064	ncbi-nuccore-short	1	1I	-	-	-
AB111065	ncbi-nuccore-short	1	1V	-	-	-
AB111066	ncbi-nuccore-short	1	1I	-	-	-
AB111067	ncbi-nuccore-short	1	1I	-	1I_H2	-
AB111068	ncbi-nuccore-short	1	1IV	1IV_B	-	-
AB111069	ncbi-nuccore-short	1	1I	1I_D	-	-
AB111070	ncbi-nuccore-short	1	1IV	1IV_A	-	-
AB111071	ncbi-nuccore-short	1	1I	1I_E	-	-
AB111072	ncbi-nuccore-short	1	1I	-	1I_H2	-
AB111073	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB111074	ncbi-nuccore-short	1	1IV	1IV_B	1IV_B1	-
AB111075	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB111076	ncbi-nuccore-short	1	1I	-	-	-
AB111077	ncbi-nuccore-short	1	1I	-	-	-
AB111078	ncbi-nuccore-short	1	1I	-	1I_H2	-
AB111079	ncbi-nuccore-short	1	1I	-	-	-
AB111080	ncbi-nuccore-short	3	3II	3II_B	-	-
AB111081	ncbi-nuccore-short	3	3III	3III_B	-	-
AB111082	ncbi-nuccore-short	3	3II	3II_A	-	-
AB111083	ncbi-nuccore-short	3	3II	3II_A	-	-
AB111084	ncbi-nuccore-short	3	3II	3II_A	3II_A3	-
AB111085	ncbi-nuccore-short	3	-	-	-	-
AB111086	ncbi-nuccore-short	4	4I	-	-	-
AB111087	ncbi-nuccore-short	4	4I	4I_A	-	-
AB111088	ncbi-nuccore-short	4	4II	4II_A	4II_A2	-
AB111089	ncbi-nuccore-short	4	4I	4I_A	4I_A1	-
AB111090	ncbi-nuccore-short	4	-	-	-	-
AB111091	ncbi-nuccore-short	4	-	-	-	-
AB111448	ncbi-nuccore-short	2	2II	-	-	-
AB111449	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AB111450	ncbi-nuccore-short	2	2II	-	-	-
AB111451	ncbi-nuccore-short	2	2II	2II_C	2II_C2	-
AB111452	ncbi-nuccore-short	2	2V	-	-	-
AB111453	ncbi-nuccore-short	2	2II	-	-	-
AB111454	ncbi-nuccore-short	2	2II	2II_C	2II_C2	-
AB180478	ncbi-nuccore-short	2	2II	-	-	-
AB188830	ncbi-nuccore-short	1	1IV	1IV_A	-	-
AB188831	ncbi-nuccore-short	1	1IV	1IV_A	-	-
AB194882	ncbi-nuccore-short	2	2V	2V_A	-	-
AB194883	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AB194884	ncbi-nuccore-short	2	2II	2II_C	2II_C2	-
AB194885	ncbi-nuccore-short	2	2II	2II_A	2II_A1	-
AB219130	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219131	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219132	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219133	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219134	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219135	ncbi-nuccore-short	2	2II	-	-	-
AB219136	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB219137	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219138	ncbi-nuccore-short	3	3I	3I_A	-	-
AB219139	ncbi-nuccore-short	3	3I	3I_A	-	-
AB232666	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB447989	ncbi-nuccore-short	3	3III	3III_B	3III_B2	-
AB543625	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB543626	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB545873	ncbi-nuccore-short	2	2III	2III_C	2III_C2	-
AB545874	ncbi-nuccore-short	2	2II	-	-	-
AB549332	ncbi-nuccore-short	3	3III	3III_B	-	-
AB550408	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550409	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550410	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550411	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550412	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550413	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550414	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550415	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550416	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550417	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550418	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550419	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550420	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550421	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550422	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550423	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550424	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550425	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550426	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550427	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550428	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB550429	ncbi-nuccore-short	1	1IV	1IV_C	-	-
AB587891	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587892	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587893	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587894	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587895	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587896	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587897	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587898	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587899	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587900	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587901	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587902	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587903	ncbi-nuccore-short	2	2V	-	-	-
AB587904	ncbi-nuccore-short	2	2V	-	-	-
AB587905	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587906	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587907	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587908	ncbi-nuccore-short	2	2V	-	-	-
AB587909	ncbi-nuccore-short	2	2V	-	-	-
AB587910	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587911	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587912	ncbi-nuccore-short	2	2V	-	-	-
AB587913	ncbi-nuccore-short	2	2V	-	-	-
AB587914	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587915	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587916	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587917	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587918	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587919	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587920	ncbi-nuccore-short	2	2V	2V_D	-	-
AB587921	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587922	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587923	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587924	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587925	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587926	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587927	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587928	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587929	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587930	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587931	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587932	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587933	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587934	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587935	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587936	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587937	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587938	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587939	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587940	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587941	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587942	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587943	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587944	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587945	ncbi-nuccore-short	2	2V	2V_A	-	-
AB587946	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587947	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587948	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587949	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587950	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587951	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587952	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587953	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587954	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587955	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587956	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587957	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587958	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587959	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587960	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587961	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587962	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587963	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
AB587964	ncbi-nuccore-short	2	2V	2V_A	2V_A3	-
